"単元","項目","問題","答え","誤答候補","資料テキスト","資料画像"
"テストデータ１","大問1 国土と領土","日本の最南端に位置する、護岸工事が行われたサンゴ礁の島は何か。","沖ノ鳥島","南鳥島;与那国島;択捉島","",""
"テストデータ１","大問1 国土と領土","日本の最東端に位置する島は何か。","南鳥島","沖ノ鳥島;与那国島;択捉島","",""
"テストデータ１","大問1 国土と領土","日本の最西端に位置する島は何か。","与那国島","沖ノ鳥島;南鳥島;択捉島","",""
"テストデータ１","大問1 国土と領土","日本の最北端に位置する、千島列島にふくまれる島は何か。","択捉島","南鳥島;沖ノ鳥島;与那国島","",""
"テストデータ１","大問1 国土と領土","排他的経済水域は、海岸からおよそ何海里以内に設定されるか。","200海里","12海里;100海里;370海里","",""
"テストデータ１","大問1 国土と領土","排他的経済水域で、沿岸国が利用する権利をもつものは何か。","水産資源や鉱産資源","他国の漁業権;航空路;標準時","",""
"テストデータ１","大問1 国土と領土","国が沖ノ鳥島の周りをコンクリートブロックで囲む工事を行った理由として正しいものはどれか。","島が水没すると広い排他的経済水域を失うから","観光客を増やすため;漁港をつくるため;軍事拠点にするため","",""
"テストデータ１","大問2 沖縄の伝統的な家","沖縄の伝統的な家で戸口を広くとっているのは、風通しをよくして何のためか。","夏の暑さをやわらげるため","冬の寒さを防ぐため;雪の侵入を防ぐため;湿気をためるため","",""
"テストデータ１","大問2 沖縄の伝統的な家","沖縄の伝統的な家で、屋根がわらをしっくいで固めたり石垣をめぐらせたりするのは何のためか。","台風（強い風）から家を守るため","地震から家を守るため;雪の重みに備えるため;日光を取り入れるため","",""
"テストデータ１","大問3 農業","小さく不規則な田を大きく整える耕地整理を行うと、米づくりの作業はどう変わるか。","大型機械が使いやすくなり作業が効率的になる","手作業が増えて時間がかかる;田が小さくなる;水が引きにくくなる","",""
"テストデータ１","大問3 農業","よりよい性質をもつ新しい品種をつくり出すことを何というか。","品種改良","耕地整理;二期作;輪作","",""
"テストデータ１","大問3 農業","「はえぬき」は親品種のよい性質を受けついでいる。あてはまる説明はどれか。","たおれにくく、つぶの形がきれいで味もよい","たおれやすく味も悪い;つぶの形がそろわない;寒さに弱く育てにくい","",""
"テストデータ１","大問4 気候とくらし","長野市と高松市に共通する、降水量から読み取れる気候の特色はどれか。","一年を通して降水量が少ない","一年を通して降水量が多い;夏に降水量が特に多い;冬に降水量が特に多い","",""
"テストデータ１","大問4 気候とくらし","長野市や高松市で降水量が少ない理由として正しいものはどれか。","まわりを山地に囲まれ、湿った季節風がさえぎられるから","海に面し季節風の影響が強いから;標高が低く台風が多いから;赤道に近く乾燥しているから","",""
"テストデータ１","大問4 気候とくらし","雪の多い地域で信号機を縦型にしているのはなぜか。","雪が積もりにくくするため","製造費を安くするため;歩行者から見やすくするため;LEDの数を増やすため","",""
